Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Escola Secundária de Maximinos, Braga;41.542686;-8.441806;Braga;Público;DE
Escola Básica de Mosteiro e Cávado, Panóias, Braga;41.578259;-8.464804;Braga;Público;CD
Escola Básica de Real, Braga;41.557835;-8.439881;Braga;Público;CD
Escola Básica de Trigal de Santa Maria, Braga;41.50606;-8.483452;Braga;Público;CD
Escola Básica Dr. Francisco Sanches, Braga;41.55471;-8.41219;Braga;Público;CD
Escola Básica de Palmeira, Braga;41.57762;-8.424689;Braga;Público;CD
Escola Secundária Sá de Miranda, Braga;41.55689;-8.418178;Braga;Público;DE
Academia de Música Cabeceiras de Basto;41.515185;-7.989627;Braga;Privado;M
Externato de S. Miguel de Refojos;41.514206;-7.9926343;Braga;Privado;E
Escola Básica do Arco de Baúlhe, Cabeceiras de Basto;41.48217;-7.958581;Braga;Público;ABCD
Escola Básica e Secundária de Cabeceiras de Basto;41.514652;-7.9875665;Braga;Público;CDE
Academia de Música de Basto;41.38806;-8.001317;Braga;Privado;M
Escola Profissional de Fermil, Molares, Celorico de Basto;41.41393;-7.9921355;Braga;Público;DO
Escola Básica da Mota, Celorico de Basto;41.372524;-8.092702;Braga;Público;CD
Escola Básica de Gandarela, Celorico de Basto;41.457226;-8.030159;Braga;Público;CD
Escola Básica e Secundária de Celorico de Basto;41.391285;-8.001391;Braga;Público;CDE
Escola de Música de Esposende;41.529606;-8.781555;Braga;Privado;M
Escola Profissional de Esposende;41.512974;-8.773339;Braga;Privado;DO
Escola Secundária Henrique Medina, Esposende;41.53809;-8.783139;Braga;Público;DE
Escola Básica Antonio Correia Oliveira, Esposende;41.53512;-8.782518;Braga;Público;CD
Escola Básica de Apúlia, Esposende;41.485516;-8.761692;Braga;Público;BCD
Escola Básica António Rodrigues Sampaio, Esposende;41.559795;-8.77417;Braga;Público;CD
Escola Básica de Forjães, Esposende;41.615993;-8.73914;Braga;Público;ABCD
Academia de Música de José Atalaya;41.451015;-8.175046;Braga;Privado;M
Associação Cultural e Recreativa de Fornelos;41.468575;-8.171645;Braga;Privado;ABCD
Escola Profissional de Fafe;41.45185;-8.17136;Braga;Privado;DO
Escola Básica de Arões - Santa Cristina, Fafe;41.44318;-8.210124;Braga;Público;CD
Escola Secundária de Fafe;41.447525;-8.173761;Braga;Público;E
Escola Básica de Montelongo, Fafe;41.455284;-8.177645;Braga;Público;ABCD
Escola Básica Padre Joaquim Flores, Revelhe, Fafe;41.48025;-8.153527;Braga;Público;ABCD
Escola Básica de Silvares, São Martinho, Fafe;41.406246;-8.163222;Braga;Público;ABCD
Escola Básica Prof. Carlos Teixeira, Fafe;41.446712;-8.174247;Braga;Público;BCD
Academia de Música Comendador Albano Abreu Coelho Lima;41.4242759;-8.3525396;Braga;Privado;M
Colégio Arautos do Evangelho;41.41793;-8.327245;Braga;Privado;CDE
Colégio de Nossa Senhora da Conceição;41.429306;-8.316875;Braga;Privado;ABCD
Colégio do Ave;41.441574;-8.312917;Braga;Privado;ABCD
Conservatório de Guimarães;41.44191;-8.294771;Braga;Privado;M
Escola Profissional Bento de Jesus Caraça (Deleg.);41.435826;-8.302392;Braga;Privado;DO
Escola Profissional CENATEX;41.442745;-8.300345;Braga;Privado;O
Escola Profissional CISAVE- Associação Comercial e Industrial de Guimarães;41.447857;-8.292366;Braga;Privado;DO
Escola Profissional Profitecla (Deleg.);41.4399;-8.296107;Braga;Privado;O
Escola Secundária de Caldas das Taipas, Guimarães;41.48489;-8.352786;Braga;Público;E
Escola Secundária Martins Sarmento, Guimarães;41.4453;-8.287329;Braga;Público;E
Escola Básica e Secundária Arqueólogo Mário Cardoso, Ponte, Guimarães;41.47746;-8.340575;Braga;Público;CDE
Escola Básica Arquiteto Fernando Távora, Fermentões, Guimarães;41.45582;-8.314296;Braga;Público;CD
Escola Básica D. Afonso Henriques, Creixomil, Guimarães;41.440968;-8.309564;Braga;Público;CD
Escola Básica das Taipas, Caldas das Taipas, Guimarães;41.483963;-8.350736;Braga;Público;CD
Escola Básica de Abação, Guimarães;41.409054;-8.2677965;Braga;Público;CD
Escola Básica de Briteiros, Guimarães;41.517815;-8.319462;Braga;Público;CD
Escola Básica de Pevidém, Selho - São Jorge, Guimarães;41.43232;-8.35403;Braga;Público;CD
Escola Básica do Vale de São Torcato, Guimarães;41.481915;-8.264085;Braga;Público;CD
Escola Básica Egas Moniz, Guimarães;41.43739;-8.293315;Braga;Público;CD
Escola Secundária Francisco de Holanda, Guimarães;41.444996;-8.297167;Braga;Público;E
Escola Básica Gil Vicente, Urgeses, Guimarães;41.425022;-8.297488;Braga;Público;CD
Escola Básica Professor João de Meira, Guimarães;41.445366;-8.283466;Braga;Público;CD
Escola Básica Professor Abel Salazar, Guimarães;41.44375;-8.381839;Braga;Público;CD
Escola Básica e Secundária Santos Simões, Guimarães;41.452858;-8.286342;Braga;Público;CDE
Escola Básica Virgínia Moura, Moreira de Cónegos, Guimarães;41.372414;-8.35536;Braga;Público;CD
Escola Profissional do Alto Ave - Sociedade Unipessoal Ldª (Sede);41.573382;-8.265563;Braga;Privado;DO
Escola Básica do Ave, Póvoa de Lanhoso;41.559902;-8.220863;Braga;Público;ABCD
Escola Secundária de Póvoa de Lanhoso;41.573673;-8.264195;Braga;Público;DE
Escola Básica Gonçalo Sampaio, Póvoa de Lanhoso;41.57424;-8.274938;Braga;Público;CD
Escola Básica de Rio Caldo, Terras de Bouro;41.675335;-8.186528;Braga;Público;ABCD
Escola Básica e Secundária de Terras de Bouro;41.717995;-8.306689;Braga;Público;BCDE
Academia de Música Valentim Moreira de Sá - Pólo de Vieira do Minho;41.634317;-8.141245;Braga;Privado;M
Escola Básica e Secundária Vieira de Araújo, Vieira do Minho;41.633686;-8.133284;Braga;Público;CDE
Academia Contemporânea do Espectáculo - Pólo de Vila Nova de Famalicão;41.408375;-8.515053;Braga;Privado;O
Academia de Música Didáxis;41.3959004;-8.3911693;Braga;Privado;M
ARTEDUCA - Conservatório de Música de Vila Nova de Famalicão;41.408072;-8.517023;Braga;Privado;M
Colégio Machado Ruivo - Escolinha de Famalicão;41.4104051;-8.50219509;Braga;Privado;ABCDE
Didáxis - Riba de Ave;41.39633;-8.39239;Braga;Privado;BCDE
Didáxis - Vale de S. Cosme;41.439766;-8.477406;Braga;Privado;CDE
Escola de Música da Fundação Real Colégio de Landim;41.3801651;-8.4645263;Braga;Privado;M
Escola Profissional Artística do Vale do Ave (Sede);41.409218;-8.519554;Braga;Privado;DO
Escola Profissional CIOR;41.399471;-8.522449;Braga;Privado;DO
Escola Profissional Tecnológica do Vale do Ave;41.35058;-8.528818;Braga;Privado;DO
"Externato ""Delfim Ferreira""";41.391663;-8.388764;Braga;Privado;ABCDE
Escola Básica Júlio Brandão, Vila Nova de Famalicão;41.404144;-8.523535;Braga;Público;CD
Escola Secundária Camilo Castelo Branco, Vila Nova de Famalicão;41.404255;-8.522998;Braga;Público;DE
Escola Básica Conde de Arnoso, Vila Nova de Famalicão;41.463352;-8.496498;Braga;Público;BCD
Escola Básica D. Maria II, Gavião, Vila Nova de Famalicão;41.41649;-8.51353;Braga;Público;CD
Escola Básica Dr. Nuno Simões, Calendário, Vila Nova de Famalicão;41.394913;-8.534435;Braga;Público;BCD
Escola Secundária D. Sancho I, Vila Nova de Famalicão;41.40572;-8.524017;Braga;Público;DE
Escola Básica de Gondifelos, Vila Nova de Famalicão;41.42138;-8.601437;Braga;Público;BCD
Escola Básica de Pedome, Vila Nova de Famalicão;41.414974;-8.386377;Braga;Público;BCD
Escola Básica de Ribeirão, Vila Nova de Famalicão;41.358482;-8.557963;Braga;Público;CD
